EpochTime;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10
1759494821.11498;69928.56;69369.16;85763.16;95764.72;80491.47;48382.82;33714.29;48382.82;30653.42;68816.53
1759494821.228081;70022.46;71164.44;89635.70;105066.28;90052.25;47300.00;33371.85;48163.55;30715.04;68633.80
1759494821.340977;70494.88;72931.51;92472.67;121455.41;101750.02;45992.46;33542.54;48327.87;30715.04;69369.16
1759494821.4540238;70305.32;74352.93;92910.70;135500.03;111466.66;45787.82;33714.29;48881.20;30994.12;70022.46
1759494821.567007;70116.55;74766.93;91749.99;144524.92;115332.28;46666.16;33956.53;48937.01;31119.11;70116.55
1759494821.680107;69276.59;73535.52;89497.54;140324.31;115752.32;46666.16;34095.89;48273.02;31119.11;70589.95
1759494821.793073;69184.21;73031.64;87999.98;139451.63;109518.27;46981.62;33852.44;47460.29;31276.17;71357.52
1759494821.9059782;67641.80;71648.66;85250.00;132528.28;106150.77;46405.47;33748.76;46613.86;31339.25;71746.10
1759494822.0190752;67463.77;70972.15;83491.82;124250.04;100073.15;46250.00;33508.32;45992.46;31119.11;71746.10
1759494822.132067;67109.80;68725.08;83739.45;115332.28;95610.98;45992.46;33303.87;45081.16;31025.31;71454.37
1759494822.2449422;67109.80;67641.80;82391.65;110680.41;93204.59;46250.00;33168.40;44585.37;30869.72;71648.66
1759494822.35808;67463.77;67109.80;81432.84;105425.73;92618.31;46981.62;33067.24;44193.98;30653.42;71454.37
1759494822.470997;67375.01;65807.02;80491.47;103299.03;91320.75;47353.34;33033.60;44291.39;30530.61;71454.37
1759494822.584026;67021.75;65636.19;79681.73;104353.43;90471.91;47193.55;33134.64;44242.65;30408.38;71068.20
1759494822.697011;66846.14;66150.68;79338.59;103299.03;89913.05;47034.48;33033.60;44291.39;30438.88;70780.65
1759494822.8099961;66671.25;66323.52;79681.73;106884.09;90471.91;46666.16;33067.24;44340.21;30408.38;70685.20
1759494822.9229162;66237.02;68542.72;80842.47;112262.29;92472.67;46666.16;33202.21;44881.96;30500.00;70399.98
1759494823.035968;65978.51;70589.95;81790.32;119428.57;96383.71;46250.00;33371.85;45635.12;30622.66;70399.98
1759494823.149091;65636.19;72137.93;82999.98;124487.84;99251.67;45889.98;33645.46;46353.57;30776.80;69554.87
1759494823.262162;66150.68;73333.33;83988.25;126663.39;101920.23;45941.18;33542.54;46457.45;30994.12;69461.92
1759494823.37494;69000.00;73840.41;84238.22;125205.91;102090.92;46095.24;33508.32;46613.86;31056.54;69184.21
1759494823.487948;69461.92;74559.50;84995.26;122374.98;102951.47;46250.00;33405.90;47034.48;31119.11;69369.16
1759494823.600945;71068.20;74249.98;86281.25;117242.68;98441.17;47034.48;33337.84;47246.73;31276.17;70022.46
1759494823.714286;70685.20;73535.52;88539.90;109518.27;90753.45;47675.17;33542.54;47567.56;31244.68;70022.46
1759494823.826974;72632.35;73131.99;89085.09;102951.47;84615.39;48992.91;33783.28;48218.24;31087.80;69834.85
1759494823.940047;72632.35;72731.86;86411.55;95152.16;76244.27;49330.16;34095.89;48714.29;30684.21;69461.92
1759494824.052934;73333.33;71454.37;79111.13;84995.26;67375.01;50014.40;34130.84;48881.20;30075.14;69554.87
1759494824.166014;72039.66;70399.98;77437.08;84113.09;65551.02;49956.87;34235.96;48881.20;29955.02;68725.08
1759494824.278908;72137.93;70210.84;75184.48;81910.02;64375.84;50245.39;33852.44;48218.24;29865.29;69000.00
1759494824.3920069;70589.95;69741.34;76351.53;82634.13;65381.18;49556.79;33405.90;47353.34;29805.64;69369.16
1759494824.505028;70305.32;70116.55;81670.88;87067.79;71357.52;48603.45;32600.00;46613.86;29865.29;68908.17
1759494824.61794;70399.98;70210.84;86411.55;95152.16;79111.13;47567.56;32435.05;46561.64;29925.07;69184.21
1759494824.7309592;70876.30;71941.61;92182.51;106333.31;94245.18;45787.82;32500.91;46981.62;30075.14;69092.01
1759494824.84399;71164.44;73232.55;95152.16;123072.44;106150.77;45382.19;32832.62;47193.55;30286.71;69276.59
1759494824.95698;70305.32;74456.12;93648.25;136330.42;112865.26;46301.75;33371.85;47406.77;30377.91;69648.01
1759494825.0700061;69928.56;74249.98;92472.67;144524.92;120322.27;50303.38;33748.76;47300.00;30377.91;70305.32
1759494825.1829371;69369.16;73738.56;90331.68;145142.81;117891.31;52331.69;33921.79;46301.75;30408.38;70022.46
1759494825.295934;68000.00;72039.66;87465.36;137734.06;109135.38;50947.37;33679.85;45231.34;30653.42;71068.20
1759494825.408902;68000.00;70780.65;84238.22;126663.39;101242.16;49386.68;33679.85;44536.19;30469.43;71260.88
1759494825.521903;67463.77;69554.87;82150.28;116174.88;95304.70;48054.44;33474.14;44048.39;30377.91;71746.10
1759494825.634891;66758.61;68451.80;82030.02;113067.45;93352.09;47729.11;33440.00;43855.27;30226.09;71454.37
1759494825.747869;66933.87;67552.69;81670.88;111863.29;93204.59;47675.17;33371.85;44000.00;30165.61;71260.88
1759494825.860936;66497.04;67910.19;80491.47;111664.69;92037.97;47891.40;33337.84;44048.39;30075.14;70876.30
1759494825.974018;66237.02;68000.00;81670.88;110485.30;91893.80;47945.66;33134.64;43951.69;29955.02;70876.30
1759494826.0867689;67109.80;67021.75;81670.88;104887.32;91178.39;47353.34;33000.00;44389.10;29835.44;69834.85
1759494826.199734;66064.51;66150.68;76137.26;86935.91;82999.98;48548.16;32271.08;45081.16;29480.00;69928.56
1759494826.312753;65807.02;62117.64;59235.34;56957.05;63636.89;45685.96;31434.16;46043.81;29187.50;69184.21
1759494826.425823;64458.73;58365.75;43188.13;39621.07;58653.54;42534.39;31307.69;46718.54;28669.29;69554.87
1759494826.538753;64128.11;56750.00;39327.43;35713.01;59899.99;40389.20;30286.71;47783.12;28245.40;69928.56
1759494826.651691;64128.11;56339.13;38382.03;35455.36;60651.39;39790.12;29805.64;47406.77;28217.39;70210.84
1759494826.7646568;63881.80;55663.80;37701.79;35091.25;61882.68;39578.95;29716.42;46301.75;28357.74;70685.20
1759494826.877671;65466.02;55396.91;37504.62;35935.69;60803.32;38995.26;29597.94;44832.34;28414.10;71260.88
1759494826.990587;67286.43;54737.64;37820.71;37426.12;58008.89;39790.12;29450.60;44389.10;28669.29;71164.44
1759494827.103598;67109.80;54672.33;38871.62;38544.36;56000.00;41132.45;29274.90;44634.62;28669.29;70972.15
1759494827.216529;67463.77;54412.21;38503.70;38341.59;55131.86;41354.43;29071.43;44881.96;28470.59;70876.30
1759494827.3295648;67375.01;54089.52;38301.20;38260.86;54347.45;41488.37;28955.88;44683.94;28470.59;71068.20
1759494827.442497;67910.19;53961.21;38341.59;38382.03;54025.31;41848.34;29013.59;44536.19;28385.91;71068.20
1759494827.5556648;67820.55;54347.45;38220.59;38382.03;53705.88;41848.34;29158.43;44438.05;28301.51;70780.65
1759494827.668519;67910.19;54218.27;37860.46;38100.06;53452.26;41488.37;29042.49;44487.09;28245.40;70685.20
1759494827.781559;67552.69;54025.31;37820.71;37940.12;53389.12;41309.91;28955.88;44487.09;28245.40;70589.95
1759494827.894495;67463.77;53897.22;37583.33;37900.27;53263.16;40824.27;28984.72;44389.10;28385.91;70780.65
1759494828.007456;66497.04;53833.33;37465.35;37662.25;53075.00;40736.77;28955.88;44291.39;28301.51;71068.20
1759494828.12043;67021.75;53515.50;37543.95;37701.79;53075.00;40736.77;28955.88;44340.21;28414.10;70876.30
1759494828.2334652;67021.75;54025.31;37701.79;37662.25;52887.79;40562.50;28927.08;44438.05;28301.51;70972.15
1759494828.346418;66497.04;53389.12;37662.25;37701.79;52887.79;40216.86;28898.31;44291.39;28217.39;71164.44
1759494828.4596229;66497.04;53705.88;37426.12;37583.33;52825.59;40045.45;28869.57;44291.39;28189.42;70972.15
1759494828.5724401;66064.51;54089.52;37269.74;37583.33;52701.50;40045.45;28898.31;44193.98;28105.68;70972.15
1759494828.685374;66237.02;53833.33;37543.95;37701.79;52763.49;39875.00;28812.18;44242.65;28133.56;71164.44
1759494828.798435;65892.68;53515.50;37622.77;37504.62;52763.49;39960.11;28869.57;44193.98;28189.42;70876.30
1759494828.911407;66064.51;53769.55;37504.62;37347.83;52516.14;39790.12;28869.57;44193.98;28133.56;70972.15
1759494829.02436;65721.52;53961.21;37583.33;37662.25;52516.14;39663.24;28812.18;44145.38;28133.56;70780.65
1759494829.1374311;65892.68;53263.16;37543.95;37465.35;52454.55;39578.95;28898.31;44291.39;28161.47;70399.98
1759494829.2503748;65721.52;53137.62;37543.95;37504.62;52331.69;39494.88;28840.86;44242.65;28245.40;70399.98
1759494829.3634298;66064.51;53012.50;37622.77;37386.95;52393.07;39578.95;28898.31;44242.65;28077.82;70494.88
